Tournament,Year,Date,Location,Division,DivisionTier,Place,Award,GlasswareType,Team,Player1,Player2
"North American Tour Series - Seattle Major","2026","2026-07-11","Seattle, WA","5.5 Open Gold+","Top Tier (Glassware)",1,"🍺 Pitcher (1st Place Glassware)","Pitcher","Fever","Connor Nelson","Kieran Rose"
"North American Tour Series - Seattle Major","2026","2026-07-11","Seattle, WA","5.5 Open Gold+","Top Tier (Glassware)",2,"🍻 Tankard (2nd Place Glassware)","Tankard / Cup","Carnivorous Herbivores","Josh Fragiacomo","Jake Woolley"
"North American Tour Series - Seattle Major","2026","2026-07-11","Seattle, WA","5.5 Open Gold+","Top Tier (Glassware)",3,"🥃 Shot Glass (3rd Place Glassware)","Shot Glass / Horn","Leung/Robertt","Eddy Leung","Nathan Robertt"
"North American Tour Series - Seattle Major","2026","2026-07-11","Seattle, WA","5.5 Open Gold+","Top Tier (Glassware)",4,"4th Place (No Award)","None","Abrams / Cote","Etienne Cote","Dan Abrams"
"North American Tour Series - Seattle Major","2026","2026-07-11","Seattle, WA","5.0 Women's Bronze+","Top Tier (Glassware)",1,"🍺 Pitcher (1st Place Glassware)","Pitcher","joanna and elle","Elle Lowe","Joanna Gould"
"North American Tour Series - Seattle Major","2026","2026-07-11","Seattle, WA","5.0 Women's Bronze+","Top Tier (Glassware)",2,"🍻 Tankard (2nd Place Glassware)","Tankard / Cup","we'll figure it out ","Karah Hui","Maddy Morehouse"
"North American Tour Series - Seattle Major","2026","2026-07-11","Seattle, WA","5.0 Women's Bronze+","Top Tier (Glassware)",3,"🥃 Shot Glass (3rd Place Glassware)","Shot Glass / Horn","Who is Allison?","Ally Kula","Ally Chou"
"North American Tour Series - Seattle Major","2026","2026-07-11","Seattle, WA","5.0 Women's Bronze+","Top Tier (Glassware)",4,"4th Place (No Award)","None","Gobby Girls","Jordan Hemmen","Sara Bradshaw"
"North American Tour Series - Seattle Major","2026","2026-07-11","Seattle, WA","5.0 Open Premier/Bronze+","Top Tier (Glassware)",1,"🍺 Pitcher (1st Place Glassware)","Pitcher","Jake's Make-A-Wish Adventure","Jake Young","Charlie Bratsman"
"North American Tour Series - Seattle Major","2026","2026-07-11","Seattle, WA","5.0 Open Premier/Bronze+","Top Tier (Glassware)",2,"🍻 Tankard (2nd Place Glassware)","Tankard / Cup","WASD","Caedon Gibson","Gavin Gibson"
"North American Tour Series - Seattle Major","2026","2026-07-11","Seattle, WA","5.0 Open Premier/Bronze+","Top Tier (Glassware)",3,"🥃 Shot Glass (3rd Place Glassware)","Shot Glass / Horn","Wizard of Fog","Zachary Abas","Erick Ostheimer"
"North American Tour Series - Seattle Major","2026","2026-07-11","Seattle, WA","5.0 Open Premier/Bronze+","Top Tier (Glassware)",4,"4th Place (No Award)","None","Moe Kulaid","Jared Kula","Jon Moe"
"North American Tour Series - Seattle Major","2026","2026-07-11","Seattle, WA","4.0 Women's Advanced/Intermediate","Top Tier (Glassware)",1,"🍺 Pitcher (1st Place Glassware)","Pitcher","There's a ho in the bush!","Hathaway Bush","Anita Ho"
"North American Tour Series - Seattle Major","2026","2026-07-11","Seattle, WA","4.0 Women's Advanced/Intermediate","Top Tier (Glassware)",2,"🍻 Tankard (2nd Place Glassware)","Tankard / Cup","less smacky more grabby","Chau Nguyen","Ada Lee"
"North American Tour Series - Seattle Major","2026","2026-07-11","Seattle, WA","4.0 Women's Advanced/Intermediate","Top Tier (Glassware)",3,"🥃 Shot Glass (3rd Place Glassware)","Shot Glass / Horn","Spike Tysons","Isabella Damato","Caroline Chin"
