Tournament,Year,Date,Location,Division,DivisionTier,Place,Award,GlasswareType,Team,Player1,Player2
"CASR Opener Event","2025","2025-03-01","San Luis Obispo, CA, US","4.0+ Contender","Lower Division (Medals)",1,"🥇 Gold Medal","None","RIPS Only","Ahren Gwynn","Gunnar Mueller"
"CASR Opener Event","2025","2025-03-01","San Luis Obispo, CA, US","4.0+ Contender","Lower Division (Medals)",2,"🥈 Silver Medal","None","Dem CP grace bois","Severin Lunceford","Abraham Newman"
"CASR Opener Event","2025","2025-03-01","San Luis Obispo, CA, US","4.0+ Contender","Lower Division (Medals)",2,"🥈 Silver Medal","None","USF Advanced A","Jeslyn Theodore","Matthew Banh"
"CASR Opener Event","2025","2025-03-01","San Luis Obispo, CA, US","4.0+ Contender","Lower Division (Medals)",4,"4th Place (No Award)","None","Ethan/Shaina","Ethan Bernhardt","Shaina Berk"
"CASR Opener Event","2025","2025-03-01","San Luis Obispo, CA, US","5.0 Expert","Lower Division (Medals)",1,"🥇 Gold Medal","None","Warrior 2 in the Wind Tunnel","James Lamkin","Jake Woolley"
"CASR Opener Event","2025","2025-03-01","San Luis Obispo, CA, US","5.0 Expert","Lower Division (Medals)",2,"🥈 Silver Medal","None","*Groans* 😩😫","Connor Nelson","Sasha Mariniuk"
"CASR Opener Event","2025","2025-03-01","San Luis Obispo, CA, US","5.0 Expert","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Spikeythaboi fan club","Alec Galbo","Noah Saddik"
"CASR Opener Event","2025","2025-03-01","San Luis Obispo, CA, US","5.0 Expert","Lower Division (Medals)",4,"4th Place (No Award)","None","Aiden / Warren","Aiden Edwards","Warren Foote"
"USA Southeast Regionals","2025","2025-03-15","Lakeland, FL, US","4.0 Open/Contender","Lower Division (Medals)",1,"🥇 Gold Medal","None","grody","Noah Kopetic","Jake Dooley"
"USA Southeast Regionals","2025","2025-03-15","Lakeland, FL, US","4.0 Open/Contender","Lower Division (Medals)",2,"🥈 Silver Medal","None","Bubble Boys","Andrew Nee","Caedon Gibson"
"USA Southeast Regionals","2025","2025-03-15","Lakeland, FL, US","4.0 Open/Contender","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Papa Styles","Andrew Murray","Larkin Sharpe"
"USA Southeast Regionals","2025","2025-03-15","Lakeland, FL, US","4.0 Open/Contender","Lower Division (Medals)",4,"4th Place (No Award)","None","Sweep","Max Billinghurst","Michael Kettwich"
"USA Southeast Regionals","2025","2025-03-15","Lakeland, FL, US","5.0 Open Premier/Bronze+","Lower Division (Medals)",1,"🥇 Gold Medal","None","Abrams/ Picone ☀️🚿 ","Dan Abrams","Will Picone"
"USA Southeast Regionals","2025","2025-03-15","Lakeland, FL, US","5.0 Open Premier/Bronze+","Lower Division (Medals)",2,"🥈 Silver Medal","None","Somewhere between the mountain & the Ant","Ryan Gross","Gabe Finocchi"
"USA Southeast Regionals","2025","2025-03-15","Lakeland, FL, US","5.0 Open Premier/Bronze+","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Snarl","Dawson Morgan","Ben Savage"
"USA Southeast Regionals","2025","2025-03-15","Lakeland, FL, US","5.0 Open Premier/Bronze+","Lower Division (Medals)",4,"4th Place (No Award)","None","LL-NEM Tall Order","Kieran Rose","Matt Spolarich"
"USA Southeast Regionals","2025","2025-03-15","Lakeland, FL, US","4.5+ Women's","Lower Division (Medals)",1,"🥇 Gold Medal","None","Carry Set","Abigale Lamontagne","Malia Wanderer"
"USA Southeast Regionals","2025","2025-03-15","Lakeland, FL, US","4.5+ Women's","Lower Division (Medals)",2,"🥈 Silver Medal","None","11:1","Kalin Morgan","Julia Timan"
"USA Southeast Regionals","2025","2025-03-15","Lakeland, FL, US","4.5+ Women's","Lower Division (Medals)",3,"🥉 Bronze Medal","None","two friends","Joanna Gould","Tiff Ding"
"USA Southeast Regionals","2025","2025-03-15","Lakeland, FL, US","4.5+ Women's","Lower Division (Medals)",4,"4th Place (No Award)","None","meow moment","Stef Ding","Maddie Huffstetler"
"Atlanta Roundnet Spring Kickoff","2025","2025-04-12","Marietta, GA, US","Contender","Top Tier (Glassware)",1,"🍺 Pitcher (1st Place Glassware)","Pitcher","Out of Pocket","Eli Canon","Spencer Sexton"
"Atlanta Roundnet Spring Kickoff","2025","2025-04-12","Marietta, GA, US","Contender","Top Tier (Glassware)",2,"🍻 Tankard (2nd Place Glassware)","Tankard / Cup","*Twisted* ","Cody Peterson","Cole Solomon"
"Atlanta Roundnet Spring Kickoff","2025","2025-04-12","Marietta, GA, US","Contender","Top Tier (Glassware)",3,"🥃 Shot Glass (3rd Place Glassware)","Shot Glass / Horn","I 💖 Gamma Phi","Hampton Chappell","Joanna Gould"
"Atlanta Roundnet Spring Kickoff","2025","2025-04-12","Marietta, GA, US","Contender","Top Tier (Glassware)",4,"4th Place (No Award)","None","EA Sports","Anthony Schenk","Eric Baldwin"
"Atlanta Roundnet Spring Kickoff","2025","2025-04-12","Marietta, GA, US","Expert","Top Tier (Glassware)",1,"🍺 Pitcher (1st Place Glassware)","Pitcher","NEM Seazonal","Jacob Summers","Zach Snover"
