Tournament,Year,Date,Location,Division,DivisionTier,Place,Award,GlasswareType,Team,Player1,Player2
"USA Roundnet National Team Qualifier — Atlanta","2022","2022-05-14","Marietta, GA, US","Men's 4.5-5.0+","Lower Division (Medals)",1,"🥇 Gold Medal","None","Assistive Touch","Clark Marshall","Buddy Hammon"
"USA Roundnet National Team Qualifier — Atlanta","2022","2022-05-14","Marietta, GA, US","Men's 4.5-5.0+","Lower Division (Medals)",2,"🥈 Silver Medal","None","Air Buds","Will Picone","Coleman Epperson"
"USA Roundnet National Team Qualifier — Atlanta","2022","2022-05-14","Marietta, GA, US","Men's 4.5-5.0+","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Finocchi/Model","Max Model","Gabe Finocchi"
"USA Roundnet National Team Qualifier — Atlanta","2022","2022-05-14","Marietta, GA, US","Men's 4.5-5.0+","Lower Division (Medals)",4,"4th Place (No Award)","None","Kingdom Come","Grant Klapwijk","Matthew Cole"
"USA Roundnet National Team Qualifier — Atlanta","2022","2022-05-14","Marietta, GA, US","Women's 4.5-5.0+","Lower Division (Medals)",1,"🥇 Gold Medal","None","TWINZ","Ali Jenki","Olivia Jenki"
"USA Roundnet National Team Qualifier — Atlanta","2022","2022-05-14","Marietta, GA, US","Women's 4.5-5.0+","Lower Division (Medals)",2,"🥈 Silver Medal","None","Graham/Rogers","Becca Graham","Alli Kauffman Rogers"
"USA Roundnet National Team Qualifier — Atlanta","2022","2022-05-14","Marietta, GA, US","Women's 4.5-5.0+","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Tile Swap","Sarah Allen","Julia Timan"
"Waco Major","2023","2023-02-18","Waco, TX, US","Advanced 4.0","Lower Division (Medals)",1,"🥇 Gold Medal","None","MFFLs","Jackson Oliver","Rhett Howe"
"Waco Major","2023","2023-02-18","Waco, TX, US","Advanced 4.0","Lower Division (Medals)",2,"🥈 Silver Medal","None","New Cut","Hayden Woolard","David Z"
"Waco Major","2023","2023-02-18","Waco, TX, US","Advanced 4.0","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Flummoxed","Robert Sellers","Dylan Jimenez"
